pig_ID	ADG_group	DMM	time
10	Low_ADG	1	1
12	Low_ADG	2	1
13	Low_ADG	2	1
16	Low_ADG	2	1
22	High_ADG	2	1
23	High_ADG	2	1
26	Low_ADG	2	1
28	High_ADG	2	1
29	High_ADG	1	1
3	Low_ADG	1	1
31	High_ADG	2	1
33	High_ADG	1	1
39	High_ADG	1	1
43	Low_ADG	3	1
44	Low_ADG	1	1
45	Low_ADG	2	1
49	High_ADG	1	1
5	High_ADG	1	1
6	High_ADG	2	1
9	Low_ADG	2	1
10	Low_ADG	4	2
12	Low_ADG	4	2
13	Low_ADG	4	2
16	Low_ADG	3	2
22	High_ADG	4	2
23	High_ADG	4	2
26	Low_ADG	1	2
28	High_ADG	4	2
29	High_ADG	3	2
3	Low_ADG	3	2
31	High_ADG	4	2
33	High_ADG	5	2
39	High_ADG	4	2
43	Low_ADG	4	2
44	Low_ADG	4	2
45	Low_ADG	4	2
49	High_ADG	4	2
5	High_ADG	5	2
6	High_ADG	3	2
10	Low_ADG	3	3
12	Low_ADG	3	3
13	Low_ADG	3	3
16	Low_ADG	7	3
22	High_ADG	4	3
23	High_ADG	8	3
26	Low_ADG	3	3
28	High_ADG	7	3
29	High_ADG	5	3
3	Low_ADG	5	3
31	High_ADG	3	3
33	High_ADG	8	3
39	High_ADG	8	3
43	Low_ADG	3	3
44	Low_ADG	5	3
45	Low_ADG	3	3
49	High_ADG	4	3
5	High_ADG	8	3
10	Low_ADG	8	4
12	Low_ADG	8	4
13	Low_ADG	8	4
16	Low_ADG	8	4
22	High_ADG	8	4
23	High_ADG	8	4
26	Low_ADG	8	4
28	High_ADG	8	4
29	High_ADG	8	4
3	Low_ADG	7	4
31	High_ADG	7	4
33	High_ADG	8	4
39	High_ADG	8	4
43	Low_ADG	6	4
44	Low_ADG	8	4
45	Low_ADG	8	4
49	High_ADG	8	4
5	High_ADG	8	4
6	High_ADG	8	4
9	Low_ADG	8	4
100	High_ADG	1	1
101	High_ADG	2	1
102	High_ADG	1	1
103	High_ADG	1	1
104	High_ADG	1	1
105	High_ADG	1	1
106	Low_ADG	1	1
107	Low_ADG	1	1
108	Low_ADG	1	1
109	Low_ADG	1	1
110	Low_ADG	3	1
111	Low_ADG	2	1
112	Low_ADG	2	1
113	Low_ADG	2	1
114	High_ADG	3	1
115	Low_ADG	4	1
116	Low_ADG	2	1
117	High_ADG	1	1
118	High_ADG	1	1
119	High_ADG	2	1
103	High_ADG	4	2
105	High_ADG	4	2
100	High_ADG	4	2
102	High_ADG	4	2
101	High_ADG	4	2
117	High_ADG	4	2
118	High_ADG	4	2
112	Low_ADG	4	2
113	Low_ADG	1	2
111	Low_ADG	4	2
114	High_ADG	4	2
109	Low_ADG	4	2
119	High_ADG	4	2
116	Low_ADG	4	2
106	Low_ADG	4	2
115	Low_ADG	4	2
107	Low_ADG	4	2
110	Low_ADG	4	2
108	Low_ADG	1	2
104	High_ADG	4	2
103	High_ADG	6	3
105	High_ADG	6	3
100	High_ADG	8	3
102	High_ADG	8	3
101	High_ADG	6	3
117	High_ADG	6	3
118	High_ADG	6	3
112	Low_ADG	6	3
113	Low_ADG	6	3
111	Low_ADG	6	3
114	High_ADG	6	3
109	Low_ADG	6	3
119	High_ADG	6	3
116	Low_ADG	6	3
106	Low_ADG	6	3
115	Low_ADG	6	3
107	Low_ADG	5	3
110	Low_ADG	5	3
108	Low_ADG	5	3
104	High_ADG	8	3
103	High_ADG	6	4
105	High_ADG	6	4
100	High_ADG	6	4
102	High_ADG	8	4
101	High_ADG	6	4
117	High_ADG	6	4
118	High_ADG	6	4
112	Low_ADG	7	4
113	Low_ADG	7	4
111	Low_ADG	7	4
114	High_ADG	6	4
109	Low_ADG	7	4
119	High_ADG	6	4
116	Low_ADG	7	4
106	Low_ADG	7	4
115	Low_ADG	7	4
107	Low_ADG	6	4
110	Low_ADG	8	4
108	Low_ADG	6	4
104	High_ADG	8	4
200	Low_ADG	2	1
201	Low_ADG	2	1
202	Low_ADG	2	1
203	Low_ADG	2	1
204	High_ADG	1	1
205	Low_ADG	2	1
206	Low_ADG	2	1
207	High_ADG	1	1
208	High_ADG	2	1
209	Low_ADG	2	1
210	High_ADG	2	1
211	High_ADG	1	1
212	High_ADG	2	1
213	High_ADG	1	1
214	Low_ADG	1	1
215	High_ADG	2	1
216	High_ADG	2	1
217	High_ADG	2	1
218	Low_ADG	2	1
219	Low_ADG	1	1
200	Low_ADG	3	2
201	Low_ADG	3	2
202	Low_ADG	3	2
203	Low_ADG	3	2
204	High_ADG	3	2
205	Low_ADG	3	2
206	Low_ADG	5	2
207	High_ADG	4	2
208	High_ADG	4	2
209	Low_ADG	4	2
210	High_ADG	4	2
211	High_ADG	3	2
212	High_ADG	3	2
213	High_ADG	1	2
214	Low_ADG	3	2
215	High_ADG	4	2
216	High_ADG	2	2
217	High_ADG	3	2
218	Low_ADG	3	2
219	Low_ADG	4	2
218	Low_ADG	5	3
210	High_ADG	5	3
209	Low_ADG	5	3
216	High_ADG	5	3
211	High_ADG	5	3
213	High_ADG	5	3
206	Low_ADG	7	3
205	Low_ADG	5	3
200	Low_ADG	5	3
201	Low_ADG	5	3
207	High_ADG	5	3
208	High_ADG	5	3
217	High_ADG	5	3
219	Low_ADG	5	3
202	Low_ADG	5	3
203	Low_ADG	3	3
215	High_ADG	5	3
214	Low_ADG	7	3
